User Name,Review Date,Review Body
Cody Allen,"Reviewed in the United States on February 20, 2021","Everybody has adversity to overcome in life. We are all dealt a different hand of cards and must do our best to beat the house. In Hillbilly Elegy, J.D. Vance tells of his own hardships growing up in rural Middletown Ohio, a city that has seen a steady decline in its social fabric (due in no small part to the evacuation of the steel industry). With a drug addicted mother and an absent father, he is still one of the lucky ones because he had a grandmother, or Mamaw, who watched out for him and encouraged him to do well in school. Sometimes all it takes is one adult figure to offer support and love to a child in order for them to ‘make it.’

In his book, Vance writes how he “watched some friends blossom into successful adults and others fall victim to the worst of Middletown’s temptations—premature parenthood, drugs, incarceration.” He continues: “What separates the successful from the unsuccessful are the expectations that they have for their own lives.” When I look back at my own childhood, this rings with an element of truth. In my family, for example, going to college was the expectation. There was never a conversation about whether or not I wanted to go, or whether or not it made sense for me to attend a university depending on what I wanted to do with my life as an adult. It was simply what kids like me did after high school. Only as an adult did I become aware of the other options to kids coming out of high school: working a job, traveling, joining the armed services or the peace corps, etc. But the expectation for me, set by my parents and by extension my middle class background, was that I go to college. While reading Hillbilly Elegy, I found myself wondering what it would feel like to not have that expectation, or any expectation of getting anything out of life at all. A truly existential crisis, and yet one that a huge population of the people in this country face!

Almost every aspect of Vance’s life was setting him up for failure. Whether it was the acceptance of gun violence as a means to settle arguments or his mother putting soda in his baby bottle, his life was designed to keep him incapable of growth in all the important ways. Yet somehow, he made it out and now lives a comfortable happy life in Cincinnati. While regulatory bodies have done their best to help, and some of their policies have indeed made it easier for poor people to afford food and medicine, the revelation that Vance offers inside these pages is that poverty is culturally systemic. The hardships of Hillbilly culture, abundant in Appalachia and the midwest, will be a losing battle for those of us on the outside wanting to help. Herein lies the million dollar question: how do we help a culture that views outsiders with suspicion and aggression? Not to mention a cultural pride that would never admit to having a problem in the first place, and would tell you to shove off if you asked.

The answer, it seems, is people like Vance. If he was able to grow up and ultimately thrive (he graduated from Yale Law School) then he is living proof that the American Dream is possible for the poor communities of the rust belt. Being an insider, perhaps he is the key, the antidote to a system inherently untrusting of outsiders. Sometimes all a child needs is a role model to aspire to, whether it be a politician, a musician, a scientist, or someone else of merit. Perhaps Vance can offer hope to some of the midwest’s most destitute children and communities.

This book ultimately helped me realize the vast differences in culture across the United States. While I was aware of worldwide cultural differences, I think it a truth that many of us forget the vast variety of people and different ways of life that exist within the 3 billion square miles of land that make up the continental United States. Hillbilly Elegy inspired empathy in me for people who grow up embroiled in trauma and I sincerely hope that Vance can find progressive ways to help uplift his broken community."
einsteinboricua,"Reviewed in the United States on February 25, 2019","TL;DR version: recommended for understanding Appalachian Americans.

Long story: I grew up away from the states (Puerto Rico to be precise). My perception of the country has been that, with the exception of the Solid South (think Confederacy here), most of the states were on relative equal footing. Enter adulthood and my deeper understanding of the various regions in the country: the South, the Northeast, the Midwest, the Rust Belt, the ""Left"" Coast, the Mountainous West, the Plains, Appalachia...I still felt there was something more to all of them than just regional identities. There were two things I wanted to understand.

1. After the 2016 election when Trump was elected, I was baffled by some states and their overwhelming support of Trump. A state like Kansas was expected to go red. A state like Ohio usually never strays too far from the average, yet it went redder than normal. PA and MI were slightly tilted to the GOP. But the state that I found extremely surprising was West Virginia. The state had trending red at the federal level since the 2000 election when it gave Bush its electoral votes over Al Gore (the first time the state narrowly voted for the GOP, save for the waves of Reagan and Nixon) and it was clear that after Obama had won in 2008 and 2012, West Virginians had no more love for Democrats. Appalachia had been a reliable Democratic stronghold but little by little it eroded until in 2016 there were barely any pockets that supported Clinton. During the 2016 primaries, West Virginia Democrats overwhelmingly chose Bernie Sanders over Clinton. While Clinton may have doomed herself by saying she would kill coal, her proposal was not as radical as Sanders who also proposed an end to coal but had no plan for those affected by it. Kentucky was narrowly carried by Clinton, but the Appalachia region went for Sanders. How was it possible that these regions would support someone who would be more hawkish against coal than Clinton? And why do they cling to an industry that, contrary to what conservatives say, is dying because it's not economically feasible anymore?

2. As Southern states began trending Republican, it was understandable that the GOP adopted a policy of ""free market"" (i.e. reduce the role of government in many aspects) which many Southern conservatives still care about. West Virginia, however, bucked that trend until 2014, becoming the last state in the South to convert to the GOP. But I wonder if the change was more as a backlash against Democrats or because they truly believed in the GOP's policies. How was it possible that, while coal mines and factories shut down and folks become unemployed, the region continues to elect politicians that chip away at the social safety nets that can help these folks get back on their feet?

Enter a West Virginian coworker with whom I discussed these things. He said that to understand all of that, I needed to understand the culture of the area and he recommended this book. He had read for himself and he confirmed that, while his life wasn't as chaotic as the author's, he knew of many people who were like that and had seen his surroundings as matching those of the author. Granted, the author talks about Ohio and Kentucky (the two states where he lived most of his young life), but the region overall is Appalachia.

This book is definitely a must read. It brought a sense of understanding of the many struggles of the region and it made clear that the American system is not applied equally across the country. Even the poorest areas in the richer states are better off that many regions of Appalachia.

The author talks about the origins of his family (his maternal family as his biological dad is an absent figure) and the entire matriarchy down to his level. He talks about the psychological struggles of having a mother who verbally abuses him and even threatens to kill him, how his grandparents were his stabilizing figures, and how eventually he overcame all of it to become an accomplished lawyer and overall person. He also touches on personal responsibility. He admits to having made mistakes of his own and not blame them on anyone or anything (also noting how many in the region do not do it).

They say that before you judge a man, you must walk a mile in their shoes. Well, this book gives you that and so much more. For the record, though I identify as liberal in the political spectrum, I feel it is important to gain a better understanding of opposing views. Perhaps understanding the region overall can help us (and hopefully current and aspiring national politicians) identify the flaws in our system and ensure that the it works to the benefit of all and not just the successful ones.

In other words: if you're a liberal this is a very interesting read if you want to understand why some people think our ideas are stupid. And it highlights the importance of why some regions are the way they are."
Cheryl Racine,"Reviewed in the United States on February 12, 2025","Very readable...just shows that no matter where you come from if you are smart, motivated, and work hard you can be ANYTHING! This is America, after all!"
cheryl provence,"Reviewed in the United States on February 16, 2025",The best education on Hillbilly life you will ever receive. This book is beautifully written by someone who truly knows: J.D. Vance.
Ryan B,"Reviewed in the United States on February 6, 2017","This book hit me like a ton of bricks. I was moved to tears more than once. There are parallels all over the place to the life of my parents, their parents, and to me. Also offered are insights into why there was shouting in my childhood home. Why there is (a decreasing amount of) shouting in my adulthood home. Why I am always ready for conflict. I've spent over 10 years now trying to understand myself better as I walk the path of constant improvement. I learned more in this book than in most of that time because the material is so relevant to my experience. Maybe I'm also ready to hear it. In some ways the story is a validation that nothing is wrong with me. JD's insights helped me understand why I am who I am. They also helped me understand that I'm still perpetuating some of the cycle. But I think we've broken it.

My father never met his biological father. He had 4 stepfathers though, and 10+ siblings with 4 different last names. I have an uncle Bubba. Yes, Bubba on the birth certificate. They traveled all over for various reasons and ended up in Baltimore. My father endured tremendous abuse but ""escaped"", in that he has a life long marriage and a job that (barely) got him to retirement without losing the progress he made. The Steel Mill in Baltimore shut down just 5 years ago. He has a modest home, a dog, poor health, little retirement, a successful son and a daughter who still lives at home, but has no real extended family connections. Still worlds beyond anyone else in his family.

My mother was a Mullins, and prior to her parents' marriage they were both already Mullins. They came from Appalachia. In fact my Great Uncle Denny wrote a series of books called Tales of Appalachia. For some reason my Granddaddy Mullins and his brothers seemed to largely make it out ok. Kind people with a gentle way and good families that pursued higher education. But my Mami Mullins was a different story. Mean, nasty to her kids, and a drunk. She was as sweet as pie to me but her impact on my mother ended up affecting me anyway. Granddaddy and Mami moved from Virginia to Baltimore for Mill Work like so many others. The Mullins descend from the Mayflower. American Originals.

Being 1 to 2 generations removed from Appalachia I can tell you the family culture follows. I lived in a home with lots of shouting and a fair amount of racism, sexism, poor decisions and abuse. But my parents stayed together. I have no idea how I made it out.

But like JD I don't fit into either world now. I'm not at home at the swim club, the golf course, with the dads sidelined at a birthday party, or the poker game where everyone flaunts their Alma matter gear as a badge of honor. Often the first questions asked include ""where did you go to school"", ""what is your handicap"", or perhaps casual conversation about vacations abroad. I have never left North America. Always a brutal reminder of your rung in society. It's not just money. As the years have passed and with the help of several mentors I have learned the manners and ways of the mid/upper class. Suffering judgement and horrible embarrassment along the way. My wife has taught me things that many children under 10 know (including mine now). Like waiting for others to get their food before eating, not eating the last of anything (ever), that iced tea shouldn't have 2 cups of sugar, or that your belt should match your shoes. God Bless her.

Conversely, I'm alienated by family that assumes I think I'm too good for them because of my slightly evolved behavior, habits, and parenting style. It's their insecurity but corrosive nonetheless. I'm shunned from events and cousins I spent years riding bikes and causing trouble with don't know how to talk to me. I can't associate with old friends with 1 or 2 exceptions.

But the guys in the new neighborhood can tell that I don't quite belong. So I'm partially accepted. I have succeeded in a white collar world with a tenacious drive and a God given brain. But I am not traditionally educated. I have a 20 year old son who was born when I was 17. He is a Junior at a private college. I have 4 younger children who will be educated and are being brought up with some of that hillbilly parenting style, though markedly less than generations before. And we try every day to continue breaking the cycle.

I think we did it. JD did it in one generation. It's taken us a series of steps."
Kathy of The Cove,"Reviewed in the United States on February 21, 2025","Interesting story and painting of an Americana culture. Well written, very down to earth."
Yvonne,"Reviewed in the United States on February 14, 2025","Beautifully written, very enjoyable to read
Don’t pass up this book on Vice President Vance"
Jason G,"Reviewed in the United States on December 21, 2024","When J.D. Vance got nominated to run for Vice President, I thought I would give this book a read. I had already seen the made of TV movie so I though I knew what to expect. Boy, was I wrong. The movie simply scratched the surface while the book went deep into the good, the bad and the ugly of growing up and living in general in the ""hillbilly"" culture. At times it is pretty humorous, at others, it is heartbreaking. And one very interesting thing for me was that it felt like no matter whether you could identify with the particular difficulties and nuances of the life Vance grew up knowing, there seemed to be something there we could all relate to in some way."
William K.,"Reviewed in the United States on August 27, 2024","I saw the movie before reading the book, and the movie makes a few changes. But the basic storyline remains the same. The author gives a description of his family and how his grandparents moved to Middletown, OH to find employment in the steel mill there. They made a mostly middle-class life there, but as time went on, family troubles reared their ugly head beginning before the author's birth. He found himself in an unstable family situation with an abusive mother and her revolving door of relationships, partners, boyfriends, and the occasional ex-husband. His grandmother took an interest and he was able to turn his life around and discover a way out of that place and life. He states that just living his life has taught him things that the average person in Middletown would have no way of knowing. He was able to achieve an amazing amount of upward mobility by making some smart choices and being willing to set goals and work for them.

His concern is that he sees the people from his hometown and many others like them slipping into an abyss of poverty, addiction, and abuse. Some of this is self-inflicted, and that the people seem to have lost their drive, ambition, and upward mobility. He fears that we stand to lose a large segment of society because of these problems, and states that society cannot afford to let its working-class people sink into quicksand. It goes contrary to the American Dream, but he said it's telling that several European countries are doing the American Dream better than we do here because their working classes have experienced far more upward mobility than ours has.

He does not claim to have a sweeping solution nor all the answers to every question or concern. But he is right to be concerned. Call the book the canary in the coal mine who might be chirping just before it's too late. Also, it's a terrible shame that this book will be given some kind of knee-jerk discrediting because the author espouses politically conservative viewpoints. This is not a conservative book. This is a memoir that takes a hard look at society and is concerned by what is revealed."
Jesse Brown,"Reviewed in the United States on July 20, 2024","No wonder “Hillbilly Elegy” by J.D. Vance is #1 on Amazon’s top purchased books in July 2024, a New York Times Best Seller, and a Netflix movie!!!!!!

(This review does not contain vital spoilers.)

J.D. should be commended for his poignant work, not solely for its exceptional literary quality but for the emotional and informative depth that resonates throughout the narrative. His ability to evoke genuine sentiment is a testament to his storytelling prowess, shocking experiences, and time as a life-long learner. While reading, I had to keep reminding myself that I was reading non-fiction.

His mother was constantly changing up what the “D” in “J.D.” stood for. For me, a humorous moment in the book is when J.D. remarks on his aversion to the name ""Donald."" When writing this, he had no way of knowing who his future running mate for the United States Presidential Candidacy would be 8 years after this masterpiece was published. That made me laugh out loud.

J.D.'s candid portrayal of his family's struggles offers a stark portrayal of small-town America, urging readers to look beyond initial impressions. I can’t put into words the courage it must have taken him to share the darkest moments and terrible choices of his mother (and other family members) for the world to read about. His courage in revealing personal hardships and familial dynamics underscores the book's authenticity and societal relevance.

J.D.'s exploration of the cyclical nature of poverty, addiction, and fractured families underscores a broader message of resilience and the capacity for change. By drawing parallels between different communities facing systemic challenges, he prompts reflection on shared human experiences and the potential for societal transformation. J.D. proves that we are not facing a race war, but a socioeconomic one right here within our own borders.

J.D. wrote: “Mamaw and Papaw taught me that we live in the best and greatest country on earth. This fact gave meaning to my childhood. Whenever times were tough- when I felt overwhelmed by the drama and the tumult of my youth- I knew that better days were ahead because I lived in a country that allowed me to make the good choices that others hadn’t. (Chapter 11)” That is the sum of this book.

I wholeheartedly recommend “Hillbilly Elegy” to EVERYONE regardless of political affiliations. It serves as a poignant commentary on humanity, the pursuit of the American Dream, and the resilience inherent in the face of adversity. J.D.'s narrative has the power to inspire and provoke thought, leaving a lasting impact on readers. This is an elegy that will stick with me for so many good reasons.

J.D., if you happen to read this review- Thank you for your service in the Marine Corps. Thank you for sharing this highly personal story. Thank you for standing for what is right. And thank you for agreeing to be our next Vice President. Congratulations to your mom on 10 years of sobriety. I’m praying for your family, you, and our country."
J. Ebeling,"Reviewed in the United States on February 14, 2025",I like what I've been seeing of JD Vance so I wanted to know more about him...
Maryland Lady,"Reviewed in the United States on February 16, 2025",Interested in reading our Vice-president's life story. Something to keep in my collection.
Denise Henneman,"Reviewed in the United States on February 21, 2025","I am really enjoying reading this book about our Vise President, JD Vance!"
Thomas M. Loarie,"Reviewed in the United States on December 19, 2016","Author J.D. Vance in his best-selling memoir, “Hillbilly Elegy,” provides a first-hand account of growing up and then escaping a small town in Appalachia where the manufacturing jobs have been disappearing, wages have been stagnant, and opiate addiction has become rampant. The book speaks to the anger and frustration of the “forgotten” white working class not only in Appalachia but to other areas of the country which have suffered the same fate. These are the people who were without a voice and found one in Donald Trump. These are the people who changed the trajectory of American politics in 2016.

But most importantly, this book speaks to love, to the importance of family and to adult mentors who are committed to human potential. Vance’s escape from generational hopelessness had nothing to do with public programs and social services, most of which made things worse.

(Vance’s experience echoes the work of Mitch Pearlstein’s excellent book, “From Family Collapse to America’s Decline,” which goes beyond rural America and encompasses the plight of all low and middle income Americans who are being squeezed by job loss and stagnant wages.)

Vance did not grow up with parents who modeled love, how to seek the truth, how to be considerate and forgiving, how to work together, and how to grow in virtue. His family environment was unstable and did not provide an opportunity for him to become what God was calling him to be.

His early family life in Kentucky then in southeastern Ohio was tough. His mother got pregnant at 18, was divorced by 19 and remarried four times. She became a heroin addict after becoming addicted to prescription painkillers. At one time, she threatened to kill them both by crashing her car. His biological father was an absentee dad.

His escape had everything to do with the love of his grandparents, their faith in God and their commitment to a better future for Vance. He moved in with them in high school. They were the ones who inspired Vance to do more with his life. By always being there for him, they provided love and some semblance of stability by always being there for him.

The Marines then filled in by teaching personal discipline and how he could negotiate the simple things of adult life… like how to get a low interest loan. Later teachers at Yale pushed Vance to educational excellence.

Vance wrote the book to answer questions about his own upbringing and how he arrived at an Ivy League school and today, at an investment firm in San Francisco. The book’s publication in 2016 was timely as it intersected with Donald Trump’s presidential run and his “Make America Great” campaign which zeroed in on the plight of the white working-class. Vance’s experience has since become a part of the national conversation about social divisions in the United States and feelings of disenfranchisement among the white working class.

According to Vance, the secret sauce for those disenfranchised is not found in public initiatives. No amount of government handouts and safety nets will ever match what love can do - Love within an intact family, love of teaching others to reach their potential and, most importantly, the love of God as shown to us by others and their good works.

Vance believes the following needs to be done to help others escape “hopelessness”:
o Religious leaders need to build communities that engage people to help one another.
o Parents need to recognize how destructive chaos – fighting, screaming, addiction, divorce - is to their children’s future.
o School leaders need to be more cognizant of what’s going on in student’s home life. A student living in chaos will focuse on survival not grades.
o Most of all, people must hold themselves (and be held) responsible for their own conduct and choices. “Those of us who were not given every advantage can make better choices and those choices do have the power to affect our lives.”

The greatest contributor to the common good is the family, in which children are brought into the world by the faithful and lasting love of a man and woman. It is the first and indispensable school of love, and when a majority of its citizens are deprived of it, society itself becomes chaotic and angry. In a loving and stable home, built on faith and virtue, parents model for their children out of love, how to seek the truth, how to be considerate and forgiving, how to work together, how to grow in virtue and the right use of freedom and how to be generous to those in need. In such homes, young people have the greatest opportunity to become those men and women God is calling them to be.

Indeed, the family is the glue that holds our culture and our society together. Vance was fortunate that he had the “family” provided by his grandparents. They were the glue."
2grinkids,"Reviewed in the United States on February 9, 2025","This is a good book, easy to read. It’s a good book to understand our vice presidents upbringing."
Dave Schwinghammer,"Reviewed in the United States on September 3, 2024","The protagonist of HILLBILLY ELEGY does not sound like the V.P. candidate who refers to liberal females as “cat ladies”. Young J.D. Vance sounds like an admirable person who pulled himself up by his bootstraps.

J.D.’s mother was an addict. At first it sounded like she was hooked on opioid pills but later on there was a reference to heroin. Anyway, J.D. spent the last three years of high school living with Mamaw, his grandmother.

J.D. has a lot to say about the hillbillies who moved from Jackson, Kentucky to Middletown, Ohio. They brought their culture with them. For instance one transplanted hillbilly got in trouble with the town government over keeping chickens in his back yard. J.D. goes on to say “...hillbillies shared many regional characteristics with the southern blacks arriving in Detroit.” J.D. had to deal with abuse, alcoholism, and poverty. The sound of family life he was familiar with was a lot of yelling and screaming.

J.D. didn’t hear that at his Mamaw’s house. She encouraged him to succeed, and he did, joining the marines. He says the marines taught him how to be a man; at one point he was about to pay 22% interest on a loan to buy a car, but his fellow marines talked him out of that, and he got the loan for half that. From there he went to Ohio State on the G.I. bill, graduating in two years, after which he was accepted at Yale Law School, but he still felt like a hillbilly amongst his mostly rich classmates.

Considering where he came from and the mountains he had to climb, it’s hard to believe this guy is running for V.P. alongside Donald J. Trump, his direct opposite."
Grandma,"Reviewed in the United States on February 15, 2025",Very interesting book. I would recommend this book for everyone to read
mountain man,"Reviewed in the United States on February 16, 2025","Very good book, very informative about Lance's background"
James Hall,"Reviewed in the United States on February 18, 2025",Book is well written and very interesting
Venita S. Young,"Reviewed in the United States on February 16, 2025",The book was better than the movie !
Rita Hodges,"Reviewed in the United States on February 16, 2025",Love JD Vance’s story… and his Grandmother!
